product_name,product_price,product_quantity
Bagel - Whole White Sesame,430,97
Sauce - Caesar Dressing,805,81
Shiratamako - Rice Flour,799,71
Tart - Raisin And Pecan,106,86
Radish,247,22
Juice - V8 Splash,125,67
Red Currants,677,49
Soup - Base Broth Beef,544,62
Tomatoes Tear Drop Yellow,64,73
Mussels - Cultivated,934,24
"Bread - Crumbs, Bulk",449,88
"Beans - Long, Chinese",473,47
"Beans - Navy, Dry",459,44
"Basil - Dry, Rubbed",869,21
Apple - Granny Smith,505,72
"Lid - High Heat, Super Clear",123,5
Oranges - Navel,478,46
Berry Brulee,759,50
Lobster - Canned Premium,761,57
Ham - Procutinni,570,8
Veal - Ground,767,5
Oil - Cooking Spray,420,6
"Extract - Vanilla,artificial",291,20
"Mushroom - Porcini, Dry",814,71
Wine - Chateau Bonnet,741,54
some new product,356,2
